"","Source","Target","Type","Relationship"
"1","Q173844","Q20502","Directed","subclass_of"
"2","Q181999","Q9778","Directed","subclass_of"
"3","Q202925","Q20502","Directed","subclass_of"
"4","Q325504","Q9778","Directed","subclass_of"
"5","Q341364","Q20502","Directed","subclass_of"
"6","Q360596","Q20502","Directed","subclass_of"
"7","Q388100","Q20502","Directed","subclass_of"
"8","Q598593","Q20502","Directed","subclass_of"
"9","Q601235","Q20502","Directed","subclass_of"
"10","Q627906","Q20502","Directed","subclass_of"
"11","Q757143","Q9778","Directed","subclass_of"
"12","Q780517","Q20502","Directed","subclass_of"
"13","Q817138","Q9778","Directed","subclass_of"
"14","Q851213","Q9778","Directed","subclass_of"
"15","Q863539","Q9778","Directed","subclass_of"
"16","Q874038","Q20502","Directed","subclass_of"
"17","Q915152","Q20502","Directed","subclass_of"
"18","Q928825","Q20502","Directed","subclass_of"
"19","Q949369","Q20502","Directed","subclass_of"
"20","Q956717","Q20502","Directed","subclass_of"
"21","Q1071961","Q20502","Directed","subclass_of"
"22","Q1326777","Q9778","Directed","subclass_of"
"23","Q1403744","Q9778","Directed","subclass_of"
"24","Q1415568","Q20502","Directed","subclass_of"
"25","Q1455292","Q20502","Directed","subclass_of"
"26","Q1585015","Q20502","Directed","subclass_of"
"27","Q1634085","Q9778","Directed","subclass_of"
"28","Q1658757","Q9778","Directed","subclass_of"
"29","Q1840167","Q9778","Directed","subclass_of"
"30","Q1931555","Q20502","Directed","subclass_of"
"31","Q1938987","Q20502","Directed","subclass_of"
"32","Q2304103","Q9778","Directed","subclass_of"
"33","Q2342263","Q9778","Directed","subclass_of"
"34","Q2465085","Q20502","Directed","subclass_of"
"35","Q2626684","Q9778","Directed","subclass_of"
"36","Q2702280","Q20502","Directed","subclass_of"
"37","Q2748817","Q20502","Directed","subclass_of"
"38","Q3032212","Q20502","Directed","subclass_of"
"39","Q3050572","Q20502","Directed","subclass_of"
"40","Q3056538","Q20502","Directed","subclass_of"
"41","Q3476798","Q9778","Directed","subclass_of"
"42","Q3876770","Q9778","Directed","subclass_of"
"43","Q4059163","Q9778","Directed","subclass_of"
"44","Q4736507","Q9778","Directed","subclass_of"
"45","Q4852979","Q20502","Directed","subclass_of"
"46","Q5071702","Q20502","Directed","subclass_of"
"47","Q5358022","Q9778","Directed","subclass_of"
"48","Q5502126","Q9778","Directed","subclass_of"
"49","Q5551384","Q9778","Directed","subclass_of"
"50","Q5597175","Q9778","Directed","subclass_of"
"51","Q6865341","Q9778","Directed","subclass_of"
"52","Q9298306","Q9778","Directed","subclass_of"
"53","Q9373944","Q20502","Directed","subclass_of"
"54","Q11308620","Q9778","Directed","subclass_of"
"55","Q11693015","Q20502","Directed","subclass_of"
"56","Q11696996","Q20502","Directed","subclass_of"
"57","Q15300817","Q20502","Directed","subclass_of"
"58","Q17231682","Q9778","Directed","subclass_of"
"59","Q18342587","Q20502","Directed","subclass_of"
"60","Q18358879","Q20502","Directed","subclass_of"
"61","Q20021059","Q20502","Directed","subclass_of"
"62","Q21260785","Q9778","Directed","subclass_of"
"63","Q25407483","Q20502","Directed","subclass_of"
"64","Q27345019","Q20502","Directed","subclass_of"
"65","Q29973057","Q20502","Directed","subclass_of"
"66","Q30917612","Q20502","Directed","subclass_of"
"67","Q48770362","Q9778","Directed","subclass_of"
"68","Q56342439","Q20502","Directed","subclass_of"
"69","Q60729751","Q20502","Directed","subclass_of"
"70","Q65937906","Q9778","Directed","subclass_of"
"71","Q66686936","Q9778","Directed","subclass_of"
"72","Q80725127","Q20502","Directed","subclass_of"
"73","Q90568328","Q9778","Directed","subclass_of"
"74","Q98528166","Q9778","Directed","subclass_of"
"75","Q98804240","Q9778","Directed","subclass_of"
"76","Q105763581","Q9778","Directed","subclass_of"
"77","Q106369996","Q9778","Directed","subclass_of"
"78","Q106422444","Q9778","Directed","subclass_of"
"79","Q106528337","Q9778","Directed","subclass_of"
"80","Q106574871","Q9778","Directed","subclass_of"
"81","Q106576170","Q9778","Directed","subclass_of"
"82","Q107486984","Q9778","Directed","subclass_of"
"83","Q107697234","Q9778","Directed","subclass_of"
"84","Q108297235","Q9778","Directed","subclass_of"
"85","Q110593076","Q9778","Directed","subclass_of"
"86","Q110593078","Q9778","Directed","subclass_of"
"87","Q111387914","Q9778","Directed","subclass_of"
"88","Q112997482","Q9778","Directed","subclass_of"
"89","Q115063474","Q9778","Directed","subclass_of"
"90","Q115200681","Q9778","Directed","subclass_of"
"91","Q116985035","Q9778","Directed","subclass_of"
"92","Q122216296","Q9778","Directed","subclass_of"
"93","Q124851801","Q9778","Directed","subclass_of"
"94","Q127470373","Q9778","Directed","subclass_of"
"95","Q129098689","Q9778","Directed","subclass_of"
"96","Q131286868","Q9778","Directed","subclass_of"
"97","Q134983275","Q9778","Directed","subclass_of"
"98","Q20474","Q114880130","Directed","subclass_of"
"99","Q223840","Q1033912","Directed","subclass_of"
"100","Q341364","Q898709","Directed","subclass_of"
"101","Q389631","Q1033912","Directed","subclass_of"
"102","Q530750","Q79784514","Directed","subclass_of"
"103","Q606393","Q98528149","Directed","subclass_of"
"104","Q744417","Q98528149","Directed","subclass_of"
"105","Q780517","Q1165777","Directed","subclass_of"
"106","Q832665","Q1033912","Directed","subclass_of"
"107","Q915152","Q12200830","Directed","subclass_of"
"108","Q1091450","Q4155078","Directed","subclass_of"
"109","Q1243254","Q1033912","Directed","subclass_of"
"110","Q1460303","Q9364028","Directed","subclass_of"
"111","Q1460303","Q114880130","Directed","subclass_of"
"112","Q1524033","Q898709","Directed","subclass_of"
"113","Q1585015","Q1033912","Directed","subclass_of"
"114","Q1585075","Q898709","Directed","subclass_of"
"115","Q1751409","Q1165777","Directed","subclass_of"
"116","Q1983750","Q1033912","Directed","subclass_of"
"117","Q1987980","Q1165777","Directed","subclass_of"
"118","Q2035976","Q135637","Directed","subclass_of"
"119","Q2112253","Q12200830","Directed","subclass_of"
"120","Q2260696","Q12200830","Directed","subclass_of"
"121","Q2346991","Q114880130","Directed","subclass_of"
"122","Q2374619","Q1033912","Directed","subclass_of"
"123","Q2385862","Q12200830","Directed","subclass_of"
"124","Q2608506","Q98528149","Directed","subclass_of"
"125","Q3048168","Q1033912","Directed","subclass_of"
"126","Q3066180","Q898709","Directed","subclass_of"
"127","Q3108920","Q1100989","Directed","subclass_of"
"128","Q3116754","Q1166726","Directed","subclass_of"
"129","Q4846346","Q1165777","Directed","subclass_of"
"130","Q4846346","Q114880130","Directed","subclass_of"
"131","Q5402470","Q1033912","Directed","subclass_of"
"132","Q5466607","Q114880130","Directed","subclass_of"
"133","Q5510816","Q1165777","Directed","subclass_of"
"134","Q6907397","Q114880130","Directed","subclass_of"
"135","Q10360435","Q1166726","Directed","subclass_of"
"136","Q12037719","Q1100989","Directed","subclass_of"
"137","Q12042106","Q1100989","Directed","subclass_of"
"138","Q18432631","Q106514601","Directed","subclass_of"
"139","Q22908553","Q114880130","Directed","subclass_of"
"140","Q25389262","Q12200830","Directed","subclass_of"
"141","Q27345019","Q114880130","Directed","subclass_of"
"142","Q28721502","Q1166726","Directed","subclass_of"
"143","Q30895273","Q19938910","Directed","subclass_of"
"144","Q31836693","Q114880130","Directed","subclass_of"
"145","Q47781397","Q114880130","Directed","subclass_of"
"146","Q56342573","Q1033912","Directed","subclass_of"
"147","Q60973191","Q19938910","Directed","subclass_of"
"148","Q96376113","Q110527222","Directed","subclass_of"
"149","Q97178866","Q97278139","Directed","subclass_of"
"150","Q105636937","Q110527222","Directed","subclass_of"
"151","Q106388388","Q114880130","Directed","subclass_of"
"152","Q106477753","Q114880130","Directed","subclass_of"
"153","Q106576261","Q106576141","Directed","subclass_of"
"154","Q106591506","Q114880130","Directed","subclass_of"
"155","Q106594174","Q1033912","Directed","subclass_of"
"156","Q106636289","Q11332204","Directed","subclass_of"
"157","Q106654239","Q1166726","Directed","subclass_of"
"158","Q107091813","Q106576141","Directed","subclass_of"
"159","Q108297194","Q1191544","Directed","subclass_of"
"160","Q108297232","Q4049849","Directed","subclass_of"
"161","Q110127020","Q97278139","Directed","subclass_of"
"162","Q110127031","Q97278139","Directed","subclass_of"
"163","Q110226234","Q98528149","Directed","subclass_of"
"164","Q110620412","Q19938910","Directed","subclass_of"
"165","Q112663444","Q898709","Directed","subclass_of"
"166","Q113600471","Q898709","Directed","subclass_of"
"167","Q113600471","Q1033912","Directed","subclass_of"
"168","Q114878571","Q1033912","Directed","subclass_of"
"169","Q116952929","Q898709","Directed","subclass_of"
"170","Q120715859","Q106514601","Directed","subclass_of"
"171","Q121494463","Q79784514","Directed","subclass_of"
"172","Q123009321","Q1166726","Directed","subclass_of"
"173","Q123922710","Q1136045","Directed","subclass_of"
"174","Q124333204","Q1166726","Directed","subclass_of"
"175","Q133520038","Q848852","Directed","subclass_of"
"176","Q135493744","Q114880130","Directed","subclass_of"
"177","Q20502","Q851213","Directed","subclass_of"
"178","Q21092","Q851213","Directed","subclass_of"
"179","Q56580","Q388906","Directed","subclass_of"
"180","Q170435","Q851213","Directed","subclass_of"
"181","Q170611","Q851213","Directed","subclass_of"
"182","Q188994","Q851213","Directed","subclass_of"
"183","Q205560","Q251192","Directed","subclass_of"
"184","Q216961","Q851213","Directed","subclass_of"
"185","Q217597","Q851213","Directed","subclass_of"
"186","Q251192","Q757143","Directed","subclass_of"
"187","Q325397","Q817138","Directed","subclass_of"
"188","Q339906","Q388906","Directed","subclass_of"
"189","Q341396","Q388906","Directed","subclass_of"
"190","Q362515","Q851213","Directed","subclass_of"
"191","Q372103","Q851213","Directed","subclass_of"
"192","Q382343","Q851213","Directed","subclass_of"
"193","Q388906","Q851213","Directed","subclass_of"
"194","Q476983","Q325504","Directed","subclass_of"
"195","Q513357","Q851213","Directed","subclass_of"
"196","Q602561","Q851213","Directed","subclass_of"
"197","Q655514","Q851213","Directed","subclass_of"
"198","Q749475","Q757143","Directed","subclass_of"
"199","Q820049","Q388906","Directed","subclass_of"
"200","Q828243","Q372103","Directed","subclass_of"
"201","Q848457","Q388906","Directed","subclass_of"
"202","Q858579","Q663519","Directed","subclass_of"
"203","Q903735","Q388906","Directed","subclass_of"
"204","Q922865","Q388906","Directed","subclass_of"
"205","Q1091056","Q817138","Directed","subclass_of"
"206","Q1136331","Q817138","Directed","subclass_of"
"207","Q1191299","Q388906","Directed","subclass_of"
"208","Q1242484","Q388906","Directed","subclass_of"
"209","Q1259016","Q660984","Directed","subclass_of"
"210","Q1265050","Q388906","Directed","subclass_of"
"211","Q1435509","Q817138","Directed","subclass_of"
"212","Q1455487","Q388906","Directed","subclass_of"
"213","Q1585075","Q388906","Directed","subclass_of"
"214","Q1585075","Q663519","Directed","subclass_of"
"215","Q1756101","Q663519","Directed","subclass_of"
"216","Q1890098","Q372103","Directed","subclass_of"
"217","Q2181965","Q388906","Directed","subclass_of"
"218","Q2396639","Q663519","Directed","subclass_of"
"219","Q2406633","Q817138","Directed","subclass_of"
"220","Q2465085","Q757143","Directed","subclass_of"
"221","Q2478478","Q817138","Directed","subclass_of"
"222","Q2549052","Q817138","Directed","subclass_of"
"223","Q2634010","Q663519","Directed","subclass_of"
"224","Q2638634","Q372103","Directed","subclass_of"
"225","Q2693142","Q372103","Directed","subclass_of"
"226","Q2866725","Q757143","Directed","subclass_of"
"227","Q3098078","Q388906","Directed","subclass_of"
"228","Q3492949","Q388906","Directed","subclass_of"
"229","Q3501147","Q388906","Directed","subclass_of"
"230","Q3538739","Q388906","Directed","subclass_of"
"231","Q3613770","Q757143","Directed","subclass_of"
"232","Q4155078","Q372103","Directed","subclass_of"
"233","Q4852979","Q663519","Directed","subclass_of"
"234","Q4993553","Q757143","Directed","subclass_of"
"235","Q6658771","Q817138","Directed","subclass_of"
"236","Q9260728","Q757143","Directed","subclass_of"
"237","Q9615674","Q372103","Directed","subclass_of"
"238","Q11334714","Q663519","Directed","subclass_of"
"239","Q11680297","Q663519","Directed","subclass_of"
"240","Q11830421","Q388906","Directed","subclass_of"
"241","Q12629666","Q388906","Directed","subclass_of"
"242","Q15957030","Q372103","Directed","subclass_of"
"243","Q16837290","Q757143","Directed","subclass_of"
"244","Q24077837","Q757143","Directed","subclass_of"
"245","Q25099691","Q325504","Directed","subclass_of"
"246","Q25389262","Q663519","Directed","subclass_of"
"247","Q56342573","Q388906","Directed","subclass_of"
"248","Q97265899","Q757143","Directed","subclass_of"
"249","Q106521759","Q663519","Directed","subclass_of"
"250","Q106522238","Q217597","Directed","subclass_of"
"251","Q106528422","Q325397","Directed","subclass_of"
"252","Q106594174","Q388906","Directed","subclass_of"
"253","Q106594523","Q655514","Directed","subclass_of"
"254","Q106636289","Q663519","Directed","subclass_of"
"255","Q106641525","Q817138","Directed","subclass_of"
"256","Q106653596","Q663519","Directed","subclass_of"
"257","Q106653596","Q757143","Directed","subclass_of"
"258","Q106922571","Q372103","Directed","subclass_of"
"259","Q109538574","Q216961","Directed","subclass_of"
"260","Q110584468","Q217597","Directed","subclass_of"
"261","Q110584608","Q217597","Directed","subclass_of"
"262","Q110874814","Q663519","Directed","subclass_of"
"263","Q112663444","Q388906","Directed","subclass_of"
"264","Q113510667","Q388906","Directed","subclass_of"
"265","Q114878405","Q217597","Directed","subclass_of"
"266","Q115456684","Q757143","Directed","subclass_of"
"267","Q121494463","Q325504","Directed","subclass_of"
"268","Q122839839","Q388906","Directed","subclass_of"
"269","Q123543092","Q388906","Directed","subclass_of"
"270","Q124791567","Q325504","Directed","subclass_of"
"271","Q125854043","Q388906","Directed","subclass_of"
"272","Q127471087","Q388906","Directed","subclass_of"
"273","Q127471087","Q660984","Directed","subclass_of"
