Source,Target,Type,Id,Label,Weight,relationship,Color
Q173844,Q20502,Directed,0,,1,subclass_of,"#000000"
Q181999,Q9778,Directed,1,,1,subclass_of,"#000000"
Q202925,Q20502,Directed,2,,1,subclass_of,"#000000"
Q325504,Q9778,Directed,3,,1,subclass_of,"#000000"
Q341364,Q20502,Directed,4,,1,subclass_of,"#000000"
Q360596,Q20502,Directed,5,,1,subclass_of,"#000000"
Q388100,Q20502,Directed,6,,1,subclass_of,"#000000"
Q598593,Q20502,Directed,7,,1,subclass_of,"#000000"
Q601235,Q20502,Directed,8,,1,subclass_of,"#000000"
Q627906,Q20502,Directed,9,,1,subclass_of,"#000000"
Q757143,Q9778,Directed,10,,1,subclass_of,"#000000"
Q780517,Q20502,Directed,11,,1,subclass_of,"#000000"
Q817138,Q9778,Directed,12,,1,subclass_of,"#000000"
Q851213,Q9778,Directed,13,,1,subclass_of,"#000000"
Q863539,Q9778,Directed,14,,1,subclass_of,"#000000"
Q874038,Q20502,Directed,15,,1,subclass_of,"#000000"
Q915152,Q20502,Directed,16,,1,subclass_of,"#000000"
Q928825,Q20502,Directed,17,,1,subclass_of,"#000000"
Q949369,Q20502,Directed,18,,1,subclass_of,"#000000"
Q956717,Q20502,Directed,19,,1,subclass_of,"#000000"
Q1071961,Q20502,Directed,20,,1,subclass_of,"#000000"
Q1326777,Q9778,Directed,21,,1,subclass_of,"#000000"
Q1403744,Q9778,Directed,22,,1,subclass_of,"#000000"
Q1415568,Q20502,Directed,23,,1,subclass_of,"#000000"
Q1455292,Q20502,Directed,24,,1,subclass_of,"#000000"
Q1585015,Q20502,Directed,25,,1,subclass_of,"#000000"
Q1634085,Q9778,Directed,26,,1,subclass_of,"#000000"
Q1658757,Q9778,Directed,27,,1,subclass_of,"#000000"
Q1840167,Q9778,Directed,28,,1,subclass_of,"#000000"
Q1931555,Q20502,Directed,29,,1,subclass_of,"#000000"
Q1938987,Q20502,Directed,30,,1,subclass_of,"#000000"
Q2304103,Q9778,Directed,31,,1,subclass_of,"#000000"
Q2342263,Q9778,Directed,32,,1,subclass_of,"#000000"
Q2465085,Q20502,Directed,33,,1,subclass_of,"#000000"
Q2626684,Q9778,Directed,34,,1,subclass_of,"#000000"
Q2702280,Q20502,Directed,35,,1,subclass_of,"#000000"
Q2748817,Q20502,Directed,36,,1,subclass_of,"#000000"
Q3032212,Q20502,Directed,37,,1,subclass_of,"#000000"
Q3050572,Q20502,Directed,38,,1,subclass_of,"#000000"
Q3056538,Q20502,Directed,39,,1,subclass_of,"#000000"
Q3476798,Q9778,Directed,40,,1,subclass_of,"#000000"
Q3876770,Q9778,Directed,41,,1,subclass_of,"#000000"
Q4059163,Q9778,Directed,42,,1,subclass_of,"#000000"
Q4736507,Q9778,Directed,43,,1,subclass_of,"#000000"
Q4852979,Q20502,Directed,44,,1,subclass_of,"#000000"
Q5071702,Q20502,Directed,45,,1,subclass_of,"#000000"
Q5358022,Q9778,Directed,46,,1,subclass_of,"#000000"
Q5502126,Q9778,Directed,47,,1,subclass_of,"#000000"
Q5551384,Q9778,Directed,48,,1,subclass_of,"#000000"
Q5597175,Q9778,Directed,49,,1,subclass_of,"#000000"
