page_title,page_id,url_title
Timeline of electronic music genres,38883452,Timeline_of_electronic_music_genres
Acid (electronic music),793032,Acid_(electronic_music)
Algorave,40428751,Algorave
Ambient music,55319,Ambient_music
Ambient techno,233451,Ambient_techno
Asian Underground,1558943,Asian_Underground
Bloghouse,80497586,Bloghouse
Chillstep,80790982,Chillstep
Chillwave,25462718,Chillwave
Crunkcore,24303634,Crunkcore
Dark ambient,782366,Dark_ambient
Dark wave,363651,Dark_wave
Deconstructed club,63970115,Deconstructed_club
Downtempo,345132,Downtempo
Dreampunk,67458177,Dreampunk
Drift phonk,68493369,Drift_phonk
Drone music,1453179,Drone_music
Dub music,183304,Dub_music
Electro-industrial,3922387,Electro-industrial
Electroacoustic music,464806,Electroacoustic_music
Electronic rock,50725563,Electronic_rock
Electronicore,31568852,Electronicore
Electropop,186244,Electropop
Electropunk,11995162,Electropunk
Ethnic electronica,9960008,Ethnic_electronica
Folktronica,65216252,Folktronica
Future funk,68877041,Future_funk
Glitch (music),233469,Glitch_(music)
Hauntology (music),62792474,Hauntology_(music)
Indietronica,11502638,Indietronica
Industrial hip-hop,16994945,Industrial_hip-hop
Industrial metal,592295,Industrial_metal
Industrial music,91199,Industrial_music
Industrial rock,125889,Industrial_rock
Kosmische musik,5351555,Kosmische_musik
Krautrock,276919,Krautrock
Laptronica,20264173,Laptronica
Live electronic music,20263821,Live_electronic_music
Livetronica,11311672,Livetronica
Lo-fi music,3337560,Lo-fi_music
Maidcore,81310260,Maidcore
Minimal wave,25084057,Minimal_wave
New wave music,21151,New_wave_music
Nightcore,51655201,Nightcore
Nu jazz,323708,Nu_jazz
Plunderphonics,18935160,Plunderphonics
Post-noise,81565557,Post-noise
Progressive electronic,35270919,Progressive_electronic
Psybient,41090852,Psybient
Psydub,49858028,Psydub
Sampledelia,34518520,Sampledelia
Sovietwave,57452372,Sovietwave
Space music,2148134,Space_music
Synth-funk,39708405,Synth-funk
Synth-pop,126860,Synth-pop
Synth-punk,53500426,Synth-punk
Synthwave,46733364,Synthwave
Trip hop,30021,Trip_hop
Vaporwave,41884523,Vaporwave
Wave music,67304254,Wave_music
Witch house (genre),27375319,Witch_house_(genre)
Techno,23958411,Techno
Atomic Jam,1100018,Atomic_Jam
Awakenings (festival),63727632,Awakenings_(festival)
Das Boot (album),19107963,Das_Boot_(album)
Detroit Electronic Music Archive,2133928,Detroit_Electronic_Music_Archive
Eve & Rave,47017878,Eve_&_Rave
Freetekno,65743,Freetekno
Hard Wax,2970620,Hard_Wax
I Love Techno,3866799,I_Love_Techno
Karenn,70799213,Karenn
Kvadrat (film),43261323,Kvadrat_(film)
Jay Lumen,51589331,Jay_Lumen
Mathame,74437108,Mathame
Mayday (music festival),655884,Mayday_(music_festival)
Nature One,946190,Nature_One
Rave music,211805,Rave_music
Rotterdam Rave,73815353,Rotterdam_Rave
William Röttger,45594380,William_Röttger
Ruhr in Love,44660490,Ruhr_in_Love
Sea You Festival,54299968,Sea_You_Festival
Tromsø techno scene,25233719,Tromsø_techno_scene
House music,13930,House_music
Su Su Bobien,39882831,Su_Su_Bobien
Cafe con Leche (Sunday party),3775580,Cafe_con_Leche_(Sunday_party)
Rara tech,48369437,Rara_tech
House concert,4546184,House_concert
House Dance International,18664193,House_Dance_International
Palladium (New York City),7189402,Palladium_(New_York_City)
Partyflock,15606124,Partyflock
DJ Pierre,5240516,DJ_Pierre
Rebolation,24474042,Rebolation
Star Tattooed,21578035,Star_Tattooed
Judy Weinstein,46632852,Judy_Weinstein
Wolfram (musician),77915782,Wolfram_(musician)
The World (nightclub),30735541,The_World_(nightclub)
